video_id;Titre;URL;Vues;Duree;Likes;Commentaires;Date_Publication;Description;Tags;Categorie_ID;Langue;Langue_Audio;Categories;Intervenants;Tags_Propres
M5ZauFqaN08;"Agroforesterie : un verger circulaire dans la ferme &quot;Aux Coul&#39;Eure Du Cheval&quot;";https://www.youtube.com/watch?v=M5ZauFqaN08;1432;53:25:00;59;2;28/09/2025;Vous souhaitez vous former avec Mathias André ? Par ici pour accéder à la formation Créer son verger agroécologique ...;agroécologie, agriculture, verre de terre production, sols vivants, transition agroecologique, agroforesterie, mmathias andré, andré, coul'eure du cheval, arbres, fruitiers;27;fr;fr;Agroforesterie, Formation, Environnement;Mathias André;agroforesterie, mmathias andré, andré, coul'eure du cheval, arbres, fruitiers
VZuuc8-GSzY;Rejoignez la formation Se lancer en Agriculture de Conservation des Sols (ACS);https://www.youtube.com/watch?v=VZuuc8-GSzY;54783;01:22;21;1;15/09/2025;"La prochaine session de notre formation finançable VIVEA, CPF ou OPCO ""Se lancer en Agriculture de Conservation des sols"" ...";agroécologie, agriculture, verre de terre production, sols vivants, transition agroecologique;27;fr;fr;Sol Vivant / ACS, Formation, Environnement;;
NPkRK8g_7SQ;"WEBINAIRE : Avoir un pôle R&amp;D sur sa ferme : des avantages agronomiques et économiques";https://www.youtube.com/watch?v=NPkRK8g_7SQ;1551;01:16:46;32;5;12/09/2025;"Vous souhaitez vous former en grandes cultures ? Par ici pour accéder à notre formation ""Se lancer en agriculture de ...";;28;fr;fr;Formation;;
1F1udU2iTpU;Se lancer en ACS avec Antonio Pereira;https://www.youtube.com/watch?v=1F1udU2iTpU;513;01:01;12;0;08/09/2025;Vous êtes intéressé(e) par l'Agriculture de Conservation des Sols ? Ver de Terre Production propose une formation longue de ...;agroécologie, agriculture, verre de terre production, sols vivants, transition agroecologique, acs, conservation des sols, couvert végétal, couvert végétaux, non labour, non travail du sol, semi direct, semis direct, sol vivant;27;fr;fr;Sol Vivant / ACS, Formation, Environnement;Antonio Pereira;acs, conservation des sols, couvert végétal, couvert végétaux, non labour, non travail du sol, semi direct, semis direct
Eq0CyQgULtw;"1ha de luzerne, l&#39;autonomie en MO ? - Portrait de Ferme MSV : Ferme du Hingair (56) - 2023";https://www.youtube.com/watch?v=Eq0CyQgULtw;2025;02:12:00;45;5;31/08/2025;Vous souhaitez vous former au MSV ? Retrouvez notre formation 100% finançable ici ...;;27;fr;fr;Grandes Cultures, Sol Vivant / ACS, Formation;;
tCfqWM0ZdEU;Désherbage mécanique en betterave : quelles nouveautés ?;https://www.youtube.com/watch?v=tCfqWM0ZdEU;1228;23:56;19;0;17/08/2025;Bineuse, herse étrille, robot, pulvérisation de précision,… on s'est rendu à la journée Désherb'Avenir organisée par l'Institut ...;agroécologie, agriculture, verre de terre production, sols vivants, transition agroecologique, désherbage mecanique, itb, betterave;27;fr;fr;Grandes Cultures, Environnement;;désherbage mecanique, itb, betterave
ZRGt29Q5gQg;"Fabriquer du cidre : de la pomme à l&#39;embouteillage, A. Arbeaumont";https://www.youtube.com/watch?v=ZRGt29Q5gQg;1410;00:49;36;0;08/08/2025;Vous souhaiter vous former à la production du cidre nature ? Par ici pour retrouver notre formation exclusive ...;agroécologie, agriculture, verre de terre production, sols vivants, transition agroecologique;27;fr;fr;Formation, Environnement;;
cK0RMLQPrV4;DES FLEURS POUR NOS POLLINISATEURS - Paysages In Marciac 2025;https://www.youtube.com/watch?v=cK0RMLQPrV4;2339;02:57:32;82;3;01/08/2025;Envie d'approfondir ? Les inscriptions pour nos formations longues sont ouvertes ...;;27;fr;fr;Formation;;
zN5Ym3zvhuc;AGIR POUR LES FORÊTS - Paysages in Marciac 2025;https://www.youtube.com/watch?v=zN5Ym3zvhuc;2075;02:37:13;67;7;30/07/2025;Envie d'approfondir ? Les inscriptions pour nos formations longues sont ouvertes ...;agroécologie, agriculture, verre de terre production, sols vivants, transition agroecologique;27;fr;fr;Formation, Environnement;;
zpH4r3n4Erw;PRENDRE SOIN DES ARBRES - Paysages In Marciac 2025;https://www.youtube.com/watch?v=zpH4r3n4Erw;3003;02:25:22;105;4;28/07/2025;Envie d'approfondir ? Les inscriptions pour nos formations longues sont ouvertes ...;;27;fr;fr;Formation;;
LdeCcWr7M2g;Comprendre les arbres pour mieux les tailler – Formation fruitiers avec Julien Coirier;https://www.youtube.com/watch?v=LdeCcWr7M2g;2736;00:59;90;1;10/07/2025;Retrouver la vidéo complète ici : https://youtu.be/cEWO0xufzxE.;agroécologie, agriculture, verre de terre production;27;fr;fr;Agroforesterie, Formation, Environnement;;
0Wad8v9ujK4;"L&#39;agroforesterie entre recherche et maraîchage, Terres de Roumassouze et AGROOF";https://www.youtube.com/watch?v=0Wad8v9ujK4;2450;00:56;31;0;10/07/2025;Retrouvez la vidéo complète sur notre chaine !;agroécologie, agriculture, verre de terre production;27;fr;fr;Agroforesterie, Maraîchage, Environnement;;
cEWO0xufzxE;Comprendre les arbres pour mieux les tailler – Formation fruitiers avec Julien Coirier;https://www.youtube.com/watch?v=cEWO0xufzxE;31290;02:49:51;788;46;06/07/2025;Comment pousse un arbre ? Pourquoi certains fruitiers produisent moins ? Faut-il vraiment tailler, et si oui, comment ? Dans cette ...;agroécologie, agriculture, verre de terre production;27;fr;fr;Agroforesterie, Formation, Environnement;;
MlQ2a1ZHUZ0;"L&#39;agroforesterie entre recherche et maraîchage, Terres de Roumassouze et AGROOF";https://www.youtube.com/watch?v=MlQ2a1ZHUZ0;2110;54:10:00;56;1;29/06/2025;Vous souhaitez vous former à l'agroforesterie ? Par ici pour accéder à notre formation complète 100% finançable ...;agroécologie, agriculture, verre de terre production;27;fr;fr;Agroforesterie, Maraîchage, Formation, Environnement;;
Iu9lqFuYyQA;AGRICULTURE BIO DE CONSERVATION, RETOURS D’ESSAIS SUD FRANCE - CNA;https://www.youtube.com/watch?v=Iu9lqFuYyQA;1274;46:21:00;31;1;22/06/2025;Vidéo réalisée par le Centre National d'agroécologie (CNA) https://centre-national-agroecologie.fr/ Mise en ligne et diffusion dans ...;agroécologie, agriculture, verre de terre production;27;fr;fr;Environnement;;
i1-je7D4tYw;LES NÉMATODES, impact sur les cultures, comment les gérer, ELISOL - CNA;https://www.youtube.com/watch?v=i1-je7D4tYw;1095;01:34:24;27;3;25/05/2025;Vidéo réalisée par le Centre National d'agroécologie (CNA) https://centre-national-agroecologie.fr/ La réalisation de cette vidéo a ...;agroécologie, agriculture, verre de terre production;27;fr;fr;Environnement;;
ATriEjDgSI8;Épisode 6 : Le désherbage du maïs - Implanter une culture en Bio sans labour après prairie;https://www.youtube.com/watch?v=ATriEjDgSI8;1800;02:54;40;1;21/05/2025;Vous souhaitez vous former à l'Agriculture Biologique de Conservation des Sols ? Par ici pour accéder à notre formation 100% ...;agroécologie, agriculture, verre de terre production, acs, conservation des sols, couvert végétal, couvert végétaux, non labour, non travail du sol, semi direct, semis direct;27;fr;fr;Élevage, Grandes Cultures, Sol Vivant / ACS, Formation, Environnement;;acs, conservation des sols, couvert végétal, couvert végétaux, non labour, non travail du sol, semi direct, semis direct
1G-7EXeOqlE;"Blé associé contre les ravageurs d&#39;automne : retour de 3 ans d&#39;essais";https://www.youtube.com/watch?v=1G-7EXeOqlE;1686;01:48:19;31;5;07/05/2025;Cette vidéo est une rediffusion du webinaire de restitution du projet ICIBA (Intérêts des Cultures Innovantes de Blé Associé) porté ...;agriculture, agroécologie, vincent levavasseur;27;fr;fr;Grandes Cultures, Formation, Environnement;Vincent Levavasseur;
oFvUvtUtQH4;ANALYSES DE SÈVES EN GRANDES CULTURES RETOURS D’ESSAIS - Julien David - CNA;https://www.youtube.com/watch?v=oFvUvtUtQH4;1346;01:02:07;24;2;04/05/2025;Vidéo réalisée par le Centre National d'agroécologie (CNA) https://centre-national-agroecologie.fr/ Comment ces analyses ...;agroécologie, agriculture, verre de terre production;27;fr;fr;Environnement;Julien David;
idEmLZHbsIs;Vignes à 1,70 m et brebis : une viticultrice réinvente son domaine dans le Gers, M. Lassus - CNA;https://www.youtube.com/watch?v=idEmLZHbsIs;3397;52:21:00;121;12;25/04/2025;Vidéo réalisée par le Centre National d'agroécologie (CNA) https://centre-national-agroecologie.fr/ Cette vidéo a été réalisée ...;agroécologie, agriculture, verre de terre production, viticulture, elevage, moutin, brebis, vigne haute, gers, mathilde lassus;27;fr;fr;Viticulture, Élevage, Environnement;Mathilde Lassus;viticulture, elevage, moutin, brebis, vigne haute, gers
cV_vVtlgJ8w;Robot de traite et système pâturant : comment les combiner ? Adrien Durécu;https://www.youtube.com/watch?v=cV_vVtlgJ8w;3370;00:49;39;2;13/04/2025;Retrouvez la vidéo complète sur notre chaîne Youtube !;agroécologie, agriculture, verre de terre production;27;fr;fr;Environnement;Adrien Durécu;
ZpSUkxEXhmA;14 ANS D’ESSAIS : L’azote disponible peut-il être un facteur limitant en ACS - CNA;https://www.youtube.com/watch?v=ZpSUkxEXhmA;1855;01:36:51;43;0;11/04/2025;Vidéo réalisée par le Centre National d'agroécologie (CNA) https://centre-national-agroecologie.fr/ La réalisation de cette vidéo a ...;;28;fr;fr;Sol Vivant / ACS, Environnement;;
lUENU9WuP5A;"Agroforesterie et Viticulture Bio : L&#39;Expérience de David Muller Koeberle";https://www.youtube.com/watch?v=lUENU9WuP5A;3633;01:11:56;115;9;06/04/2025;Vous souhaitez vous former à la plantation et à la greffe de la vigne ? Par ici pour accéder à notre formation en présentiel avec ...;agroécologie, agriculture, verre de terre production;27;fr;fr;Agroforesterie, Viticulture, Formation, Environnement;David Muller Koeberle;
0Ha7ABsGLt0;"SEMER LES COUVERTS A LA VOLEE, RETOURS D&#39;ESSAIS - CNA";https://www.youtube.com/watch?v=0Ha7ABsGLt0;2598;01:26:46;58;1;14/03/2025;Vidéo réalisée par le Centre National d'agroécologie (CNA) https://centre-national-agroecologie.fr/ Mise en ligne et diffusion dans ...;;28;fr;fr;Environnement;;
_M7pVXbvuF4;Poulaillers mobiles dans une ferme maraîchère du Sud Ouest - CNA;https://www.youtube.com/watch?v=_M7pVXbvuF4;18169;16:08;245;23;12/03/2025;Vidéo réalisée par le Centre National d'agroécologie (CNA) https://centre-national-agroecologie.fr/ ‍  Vous souhaitez vous ...;itinéraire technique, maraichage, maraichage bio, maraichage petite surface, maraichage sol vivant, msv, permaculture, sol vivant;27;fr;fr;Élevage, Maraîchage, Sol Vivant / ACS, Environnement;;itinéraire technique, maraichage, maraichage bio, maraichage petite surface, maraichage sol vivant, msv, permaculture
Tg3Pu0TyHUc;Réduction du stock de graines d’adventices par faux-semis, M Flament, H Georges - CNA;https://www.youtube.com/watch?v=Tg3Pu0TyHUc;2754;17:36;51;4;05/03/2025;Vidéo réalisée par le Centre National d'agroécologie (CNA) https://centre-national-agroecologie.fr/ En septembre 2024, ...;;27;fr;fr;Grandes Cultures, Environnement;;
Y3cdjfiHilY;Lifofer, bokashi et biofertilisants : retour de 30 ans d’expérience, Juan Jose Paniagua;https://www.youtube.com/watch?v=Y3cdjfiHilY;2330;01:00;73;0;02/03/2025;Retrouvez la vidéo complète sur notre chaîne Youtube !;;27;fr;fr;Général;Juan Jose Paniagua;
ec5mVMQ_XWU;"Quelles formes d&#39;azote utiliser ? Webinaire -ARVALIS.fr";https://www.youtube.com/watch?v=ec5mVMQ_XWU;2561;17:36;44;3;14/02/2025;"Replay de la partie ""Quelles formes d'azote"" du Webinaire Centre du 14 janvier 2025 Retrouvez toute l'info technique des ...";agriculture, agroécologie;27;fr;fr;Formation, Environnement;;
rPbgEuhp9Lk;USAGE DES DRONES EN AGRICULTURE, RETOURS TERRAIN - CNA;https://www.youtube.com/watch?v=rPbgEuhp9Lk;1601;01:07:31;35;1;14/02/2025;Vidéo réalisé par le Centre National d'agroécologie (CNA) https://centre-national-agroecologie.fr/ La réalisation de cette vidéo a ...;;28;fr;fr;Environnement;;
EVKux8h6Qks;Intégrer l’arbre en élevage : biodiversité, fourrage, litière, compost, la ferme Hoeffel;https://www.youtube.com/watch?v=EVKux8h6Qks;7776;01:24:48;229;27;12/02/2025;"Vous souhaitez vous formez sur l'élevage ? Rendez-vous ici pour accéder à notre formation exclusive ""Construire une symbiose ...";agroforesterie, arbre, biodiversité, bois d'oeuvre, carbone, fruitier, haie, ombre, plantation arbre, bovin, elevage, paturage tournant, paturage tournant dynamique, ration, litière plaquette, boisbois, compost;27;fr;fr;Agroforesterie, Élevage, Formation, Environnement;;agroforesterie, arbre, biodiversité, bois d'oeuvre, carbone, fruitier, haie, ombre, plantation arbre, bovin
NNmCPbhz8Ns;"Décarbonation de l&#39;agriculture avec la ferme pilote de Saint Louis Sucre";https://www.youtube.com/watch?v=NNmCPbhz8Ns;961;00:41;23;0;05/02/2025;Retrouvez la vidéo complète sur notre chaîne !;;27;fr;fr;Général;;
dyUouQMu4a0;SEMIS DIRECT AUX USA sur 5000 hectares, retours de Franck Groeneweg - CNA;https://www.youtube.com/watch?v=dyUouQMu4a0;7068;01:52:06;145;11;24/01/2025;Vidéo réalisée par le Centre National d'agroécologie (CNA) https://centre-national-agroecologie.fr/ La réalisation de cette vidéo a ...;;28;fr;fr;Environnement;Franck Groeneweg;
dKvEiyzOGcs;"WEB-CONFÉRENCE : Outils numériques à fort impact pour l&#39;agro-écologie";https://www.youtube.com/watch?v=dKvEiyzOGcs;1284;02:55:50;42;0;24/01/2025;Retrouvez les supports de présentation ici : https://www.calameo.com/read/007864709383903620375 INTRODUCTION ...;;28;fr;fr;Formation;;
myUGULERPL8;Cultiver la vigne autrement : enherbement et arbres spontanés en Alsace, Jean-Marc Dreyer;https://www.youtube.com/watch?v=myUGULERPL8;4179;23:00;130;10;22/01/2025;Jean-Marc Dreyer est viticulteur en Alsace depuis 20 ans. Il a arrêté le travail du sol et intègre l'arbre dans son vignoble sous ...;agroforesterie, arbre, biodiversité, bois d'oeuvre, carbone, fruitier, haie, ombre, plantation arbre;27;fr;fr;Agroforesterie, Viticulture, Environnement;Jean-Marc Dreyer;agroforesterie, arbre, biodiversité, bois d'oeuvre, carbone, fruitier, haie, ombre, plantation arbre
G4c3cm_IGes;Réduire les IFT herbicide : 10 ans d’expé, Stéphane Hervieu, Sébastien Darras - CNA;https://www.youtube.com/watch?v=G4c3cm_IGes;806;01:01:31;21;1;15/01/2025;Vidéo réalisée par le Centre National d'agroécologie (CNA) https://centre-national-agroecologie.fr/ En septembre 2024, ...;acs, conservation des sols, couvert végétal, sol vivant, agriculture, agroécologie, agronomie, ferme, ver de terre production, verre de terre production, vers de terre production;27;fr;fr;Sol Vivant / ACS, Environnement;Stéphane Hervieu, Sébastien Darras;acs, conservation des sols, couvert végétal, agronomie, ferme
_P3Oe3O5HaA;Accompagner la transition agroécologique grâce à la ferme pilote de Saint Louis Sucre;https://www.youtube.com/watch?v=_P3Oe3O5HaA;2971;01:10:54;51;12;08/01/2025;Pour en savoir plus sur la ferme d'Etrépagny : https://www.saintlouis-sucre.com/nos-engagements-rse/agriculteurs/ Vidéo réalisé ...;;27;fr;fr;Général;;
X9pInPmwIeY;Semis direct et transformation en huile de lin, Ludovic Joiris - Journée Séguy 2024;https://www.youtube.com/watch?v=X9pInPmwIeY;1442;00:59;46;0;05/01/2025;Retrrouvez la vidéo complète sur notre chaine !;;27;fr;fr;Formation;Ludovic Joiris;
jN_0njSJW3Q;"Semis direct au nord de l&#39;Italie : la vision d&#39;un pionnier, Sergio Argenteri - CNA";https://www.youtube.com/watch?v=jN_0njSJW3Q;2673;16:39;112;5;15/12/2024;Vidéo réalisée par le Centre National d'agroécologie (CNA) https://centre-national-agroecologie.fr/ Sergio Argenteri est pionnier ...;;27;fr;fr;Environnement;;
bcMlZ-eXza8;Maraîchage : booster la fertilité des sols et éviter les échecs, Xavier Dubreucq - CNA;https://www.youtube.com/watch?v=bcMlZ-eXza8;5459;01:46:13;113;9;06/12/2024;Vidéo réalisée par le Centre National d'agroécologie (CNA) https://centre-national-agroecologie.fr/ This video was made as part ...;;27;fr;fr;Maraîchage, Environnement;;
6rRwoJ0XLRA;WEBINAIRE : ANALYSES DE SÈVES EN GRANDES CULTURES RETOURS D’ESSAIS - CNA;https://www.youtube.com/watch?v=6rRwoJ0XLRA;1777;01:03:40;42;2;06/12/2024;Vidéo réalisée par le Centre National d'agroécologie (CNA) https://centre-national-agroecologie.fr/ Comment ces analyses ...;;27;fr;fr;Formation, Environnement;;
FrY7F395TUo;Ecimage et ensilage de céréale immature : solutions de dernier recours ? S Vandrisse, M Preudhomme;https://www.youtube.com/watch?v=FrY7F395TUo;1743;01:00;32;0;04/12/2024;Retrouvez la video complète sur notre chaine Youtube !;;27;fr;fr;Grandes Cultures;;
pBhuASYYfH0;Une analyse complète pour optimiser son système de production, Marie-Thérèse Gassler - CNA;https://www.youtube.com/watch?v=pBhuASYYfH0;2624;01:19:46;71;9;29/11/2024;Vidéo réalisée par le Centre National d'agroécologie (CNA) https://centre-national-agroecologie.fr/ This video was made as part ...;;27;fr;fr;Environnement;;
MtuhqpFV3_A;AGRICULTURE BIO DE CONSERVATION PEUT-ON LA METTRE EN OEUVRE  - CNA;https://www.youtube.com/watch?v=MtuhqpFV3_A;3951;01:49:45;91;2;22/11/2024;Vidéo réalisée par le Centre National d'agroécologie (CNA) https://centre-national-agroecologie.fr/ Merci aux décompactés de ...;;28;fr;fr;Environnement;;
Vz120U0Ov5A;Couvert permanent de trèfle sous blé et pommes de terre en ACS, R Hallegouet - Journée Séguy 2024;https://www.youtube.com/watch?v=Vz120U0Ov5A;4708;00:57;128;2;17/11/2024;;;27;fr;fr;Grandes Cultures, Sol Vivant / ACS;;
rKz9Yn3V5Lo;Couvert permanent de trèfle et pommes de terre en ACS, R et N Hallegouet - Journée Séguy 2024 - CNA;https://www.youtube.com/watch?v=rKz9Yn3V5Lo;5201;40:07:00;107;10;17/11/2024;Vidéo réalisée par le Centre National d'agroécologie (CNA) https://centre-national-agroecologie.fr/ En septembre 2024, pendant ...;acs, conservation des sols, couvert végétal, couvert végétaux, non labour, non travail du sol, semi direct, semis direct, sol vivant, agriculture, agroécologie, agronomie, ferme, francois mulet, konrad schreiber, ver de terre production, verre de terre production, vers de terre production, vincent levavasseur, hallegouet, la robe des champs;27;fr;fr;Sol Vivant / ACS, Environnement;Konrad Schreiber, François Mulet, Vincent Levavasseur;acs, conservation des sols, couvert végétal, couvert végétaux, non labour, non travail du sol, semi direct, semis direct, agronomie, ferme
ewkbo6kT3ZI;Formation MSV exclusive avec François Mulet !;https://www.youtube.com/watch?v=ewkbo6kT3ZI;1100;00:57;65;2;07/11/2024;Nouvelle formation avec François Mulet du 5 au 13 décembre, aux Serres de Marcel (27) Informations et inscription ...;;27;fr;fr;Sol Vivant / ACS, Formation;François Mulet;
EFNeZA7F8ZI;"Remplacer le glyphosate  Retour d&#39;essais chez Noël Deneuville - Journée Séguy 2024 - CNA";https://www.youtube.com/watch?v=EFNeZA7F8ZI;4313;14:28;88;4;06/11/2024;Vidéo réalisée par le Centre National d'agroécologie (CNA) https://centre-national-agroecologie.fr/ A l'occasion de la journée ...;acs, conservation des sols, couvert végétal, couvert végétaux, non labour, non travail du sol, semi direct, semis direct, sol vivant;27;fr;fr;Sol Vivant / ACS, Environnement;;acs, conservation des sols, couvert végétal, couvert végétaux, non labour, non travail du sol, semi direct, semis direct
4XBBlpJn4nk;"Vers l&#39;agroforesterie syntropique en climat arride, visite du domaine de Mazy";https://www.youtube.com/watch?v=4XBBlpJn4nk;6362;01:00;179;4;20/10/2024;Pour voir la vidéo complète : https://youtu.be/s5GES6TRCWw.;;27;fr;fr;Agroforesterie;;
xwg6BK-RNss;Couverts végétaux : un levier pour gagner de l’argent ! Lionel Mesnage - CNA;https://www.youtube.com/watch?v=xwg6BK-RNss;7771;02:07:27;110;14;16/10/2024;Vidéo réalisée par le Centre National d'agroécologie (CNA) https://centre-national-agroecologie.fr/ Webinaire avec Lionel ...;;27;fr;fr;Formation, Environnement;;
hGUoTgPScik;Orge hybride : rusticité, résistance aux désherbages, retour sur investissement, Q. Ververken - CNA;https://www.youtube.com/watch?v=hGUoTgPScik;1149;32:22:00;25;2;30/08/2024;Au programme : les orges hybrides, leurs rusticité, résistance aux désherbages, étouffement des adventices, et retour sur ...;;27;fr;fr;Grandes Cultures;;
oRqusO5tDdE;"ACACIA, l&#39;outil gratuit pour composer ses couverts végétaux - CNA";https://www.youtube.com/watch?v=oRqusO5tDdE;4421;13:49;95;13;28/08/2024;Vidéo réalisée par le Centre National d'agroécologie (CNA) https://centre-national-agroecologie.fr/ Tournage financé dans le ...;;27;fr;fr;Environnement;;
huerMyK-JUo;Verger maraîcher dans le Sud Ouest : recréer un paysage productif, L. Lafon-Placette;https://www.youtube.com/watch?v=huerMyK-JUo;7037;37:48:00;167;21;18/08/2024;Ludovic Lafon-Placette est maraicher dans le Sud Ouest de la France, à Verdun sur Garonne, et plante des arbres fruitiers depuis ...;agroforesterie, arbre, biodiversité, bois d'oeuvre, carbone, fruitier, haie, ombre, plantation arbre, agriculture, agroécologie, agronomie, ferme, francois mulet, ver de terre production, verre de terre production, vers de terre production, vincent levavasseur;27;fr;fr;Agroforesterie, Maraîchage, Environnement;François Mulet, Vincent Levavasseur;agroforesterie, arbre, biodiversité, bois d'oeuvre, carbone, fruitier, haie, ombre, plantation arbre, agronomie
ERwsPTtPWfw;18 ans de Semis Direct au Finistère, Erwan Caradec;https://www.youtube.com/watch?v=ERwsPTtPWfw;1937;00:57;46;0;08/08/2024;Si vous voulez faire un don pour soutenir notre production vidéo en accès libre, c'est possible sur le lien suivant ...;;27;fr;fr;Général;;
E1GlGFD_L-w;"Verger-maraicher, haies champêtres et bois d&#39;oeuvre en élevage, Gilles et Guillaume Haelewyn";https://www.youtube.com/watch?v=E1GlGFD_L-w;945;01:19:05;41;1;04/08/2024;Gilles et Guillaume Haelewyn plantent des arbres chaque année depuis plus de 5 ans sur leurs fermes dans le Calvados, en ...;jardin de deux'mains, agroforesterie, fruitier, elevage, bois d'oeuvre, haie champêtre, arbres, plantation;27;fr;fr;Agroforesterie, Élevage, Maraîchage;;jardin de deux'mains, agroforesterie, fruitier, elevage, bois d'oeuvre, haie champêtre, arbres, plantation
